วันที่,Block,ประเภท,หัวข้อ,Tasks (CC = Claude Code | คน = ทำเอง),Deliverable,Milestone,หมายเหตุ
11,Content (10-18),คนทำเอง ⏳,Agriculture Branch,"[คน-research] 5 entries เกษตรนิวเคลียร์: ฉายรังสีอาหาร / ปรับปรุงพันธุ์พืช / Technetium / ตรวจสอบคุณภาพ | [CC] generate building data 3 ตัว | [คน] เขียน dilemma เกษตร",Agriculture ครบ 5 entries + 3 buildings + dilemma,,
12,Content (10-18),คนทำเอง ⏳,Medical Branch,"[คน-research] 5 entries การแพทย์: PET Scan / Scintigraphy / Tc-99m / รักษามะเร็งด้วยรังสี | [CC] building data 3 ตัว | [คน] dilemma การแพทย์",Medical ครบ 5 entries + 3 buildings + dilemma,,
13,Content (10-18),คนทำเอง ⏳,Environment Branch,"[คน-research] 5 entries สิ่งแวดล้อม: จัดการกากนิวเคลียร์ / Chernobyl / Fukushima / Nuclear vs Fossil | [CC] building data + Radiation Zone | [คน] dilemma สิ่งแวดล้อม",Environment ครบ + radiation zones,,
14,Content (10-18),คนทำเอง ⏳,Content QA กับอาจารย์ที่ปรึกษา,"[คน] ส่งเนื้อหา 20 entries ให้อาจารย์ภานุชนารถตรวจ | cross-check กับแหล่งอ้างอิง TINT + สารานุกรมไทย | revise เนื้อหาที่ผิดหรือกำกวม",เนื้อหา nuclear science ผ่านการตรวจสอบ,,วันนี้คือ QA gate สำคัญ ถ้าข้ามไปเนื้อหาผิดในเกมจะเสียความน่าเชื่อถือ
15,Content (10-18),Hybrid,Exploration System,"[CC] ExplorationManager + risk calculation | [คน] ออกแบบ 6 zones + radiation level + loot balance | [คน] Editor: Exploration Popup",ส่งทีม explore ได้ + risk จริง,,
16,Content (10-18),คนทำเอง ⏳,Story & Narrative Writing,"[คน] เขียน arc Dr. Auren Vasek + 4 main scenarios | [คน] เขียน dialogue ภาษาไทยให้มี emotion | [CC] ช่วยร่าง/ขัดเกลาบท แต่ tone ต้องคนคุม",บทเรื่องครบ + ตัวละครมี personality,,งานเขียน creative ต้องคนทำ Claude Code ช่วยได้แค่ draft
17,Content (10-18),Claude Code,Narrative Manager + Relationship,"[CC] NarrativeManager trigger ตาม phase | [CC] Aethon/Keran relationship system | [คน] เสียบบทที่เขียน + ทดสอบ trigger",Story events ปรากฏถูกเวลา,,
18,Content (10-18),Hybrid,End Game Summary + Quiz — ปิด Content,"[CC] End Game Summary + Knowledge Summary + Quiz per phase | [คน] ใส่คำถาม quiz + เนื้อหาสรุป | ทดสอบเล่นจบทั้ง 3 endings",เล่นจบได้ 3 endings + Knowledge Summary,✅ Milestone,
19,Art & Audio (19-22),คนทำเอง ⏳,Integrate Pixel Art (ทำขนานมาตั้งแต่สัปดาห์แรก),"[คน-artist] building sprites + CORE TOWER 3 stages + ตัวละคร | [คน] Editor: import settings (PPU/pivot) | ทดสอบความสวยงามบน Tilemap",Art เสียบครบทุก building + CORE TOWER 3 stage,,งานนี้ต้องทำขนานมาตั้งแต่วันที่ 1 ไม่ใช่เริ่มวันนี้
20,Art & Audio (19-22),Hybrid,UI Polish + Codex UI,"[คน] ออกแบบ HUD สวยงาม + Codex UI สไตล์ terminal | [CC] menu logic Main/Pause/Settings | [คน] เพิ่ม animation fade",UI ทุกหน้าสวยงาม สอดคล้องกัน,,
21,Art & Audio (19-22),Hybrid,Sound Design,"[คน] หา ambient music royalty-free + SFX จาก freesound.org | [CC] AudioManager + volume mixer | ทดสอบเสียง",BGM + SFX ครบ,,
22,Art & Audio (19-22),Buffer,Buffer / Catch-up #1,"ตามงานที่ค้างจาก block ก่อนหน้า | เผื่อสอบ/ป่วย/งานเลท | ถ้าว่าง: เริ่ม balance pass แรก",งานทุก track sync กัน ก่อนเข้า playtest,,
23,Playtest (23-30),คนทำเอง ⏳,Playtest Round 1 — Internal,"[คน] เล่นทั้งเกมทุก ending จดบันทึก bug + balance issue | ตรวจ: Tooltip/Codex ให้ความรู้จริงไหม? Systems Thinking เกิดไหม? | สร้าง bug list + priority",Bug list + balance issue ครบ,,
24,Playtest (23-30),คนทำเอง ⏳,Game Balance Tuning,"[คน] ปรับ resource rate / ความยาก / pacing เล่นซ้ำหลายรอบ | [CC] ปรับค่าใน ScriptableObject ให้เร็ว | iterative: ปรับ→เล่น→ปรับ",เกมไม่ยากหรือง่ายเกิน pacing พอดี,,Balance คือ iteration หลายรอบ ไม่มีทางทำในรอบเดียว
25,Playtest (23-30),Claude Code,Bug Fix Sprint,"[CC] แก้ Critical + Major bugs จาก repro ที่ละเอียด | [คน] verify ทุก fix | commit + tag v0.9-beta",ไม่มี Critical bug,,ยิ่ง repro ละเอียด Claude Code ยิ่งแก้ตรงจุด
26,Playtest (23-30),คนทำเอง ⏳,Playtest Round 2 — External,"[คน] ให้เพื่อนเล่นโดยไม่อธิบาย สังเกต pain point | เก็บ feedback: เข้าใจผิดตรงไหน? เบื่อตอนไหน? | ตรวจ nuclear content เข้าใจง่ายจริงไหม",Feedback จาก external tester,,
27,Playtest (23-30),Hybrid,Apply Feedback + Re-balance,"[CC] แก้ UX/bug จาก round 2 | [คน] re-balance ตาม feedback | ขัดเกลา Tooltip ที่อ่านยาก",UX ลื่นขึ้นตาม feedback,,
28,Playtest (23-30),Buffer,Buffer / Catch-up #2,"เผื่อ bug ที่โผล่นาทีสุดท้าย | ตามงาน art/audio ที่อาจค้าง | พัก/เตรียมตัวก่อน final push",พร้อมเข้า final build,,
29,Playtest (23-30),Hybrid,Final Polish + Build,"[CC] loading screen + credits screen | [คน] final bug pass | build .exe ทดสอบบนเครื่อง min-spec จริง",Build .exe ทำงานบน Windows 10 ขั้นต่ำ,,ทดสอบบนเครื่องที่ไม่ใช่เครื่อง dev จริงๆ
30,Playtest (23-30),คนทำเอง ⏳,Submit NSC,"[คน] final build + installer + README.md | [คน] อัด gameplay video 3-5 นาที | ตรวจ proposal สอดคล้องกับเกมจริง | ส่ง NSC: .exe + source + proposal + video",ส่ง NSC ครบทุกอย่าง,✅ Milestone,
